,備考,ダニエル,アンダーソン,ジャック
2026/12/17 13:30,,木村達成,加藤和樹,堂珍嘉邦
2026/12/17 18:30,,平間壮一,松下優也,加藤和樹
2026/12/19 12:30,,木村達成,松下優也,堂珍嘉邦
2026/12/19 17:30,ホリプロステージ貸切,平間壮一,松下優也,加藤和樹
2026/12/20 12:30,,平間壮一,加藤和樹,堂珍嘉邦
2026/12/20 17:30,貸切,木村達成,加藤和樹,堂珍嘉邦
2026/12/21 13:30,,平間壮一,松下優也,加藤和樹
